番組	回	タイトル	再生	配信日	再生時間(分)	再生回数
heldio	1491	#1491. khelf 会長，青木輝さんの国際学会発表の報告	<a href='https://voicy.jp/channel/1950/6845995'>play link</a>	2025/06/29	18	568
heldio	1490	#1490. 「英語史から読み解く　これからの英語との向き合い方」 --- ANA『ていくおふ』179号より	<a href='https://voicy.jp/channel/1950/6843330'>play link</a>	2025/06/28	19	592
heldio	1489	#1489. 英語史研究者はどのようにして研究対象の時代を選ぶのか？	<a href='https://voicy.jp/channel/1950/6839063'>play link</a>	2025/06/27	15	571
helwa	308	【英語史の輪 #308】『英語語源ハンドブック』の最初の項目 a, an を読もう！	<a href='https://voicy.jp/channel/1950/6834189'>play link</a>	2025/06/26	23	54
heldio	1488	#1488. 週末は名古屋 --- 近代英語協会と helwa オフ会	<a href='https://voicy.jp/channel/1950/6838950'>play link</a>	2025/06/26	18	491
heldio	1487	#1487. add の「中身のない」語源 --- 『英語語源ハンドブック』と「英語語源辞典でたどる英語綴字史」	<a href='https://voicy.jp/channel/1950/6831012'>play link</a>	2025/06/25	16	682
helwa	307	【英語史の輪 #307】HEE への言及，参照，レビュー等，ありがとうございます！	<a href='https://voicy.jp/channel/1950/6833933'>play link</a>	2025/06/24	21	138
heldio	1486	#1486. 答えよりも問い，スッキリよりもモヤモヤが大事 --- 旺文社『Argument』春夏号の巻頭エッセイ「素朴な疑問を大事に，英語史」より	<a href='https://voicy.jp/channel/1950/6825711'>play link</a>	2025/06/24	27	552
heldio	1485	#1485. khelf の恒例企画「英語史コンテンツ50」を今年度も始めました	<a href='https://voicy.jp/channel/1950/6820775'>play link</a>	2025/06/23	14	518
helwa	306	【英語史の輪 #306】昨晩の新宿オフ会より --- heldiお遍路さんの登場！	<a href='https://voicy.jp/channel/1950/6821619'>play link</a>	2025/06/22	40	71
heldio	1484	#1484. コメント返し 2025/06/21(Sat)	<a href='https://voicy.jp/channel/1950/6820655'>play link</a>	2025/06/22	25	377
heldio	1483	"#1483. 今晩の朝カルの話題は ""season"" --- 『英語語源ハンドブック』で項目を覗いてみます"	<a href='https://voicy.jp/channel/1950/6820564'>play link</a>	2025/06/21	17	529
helwa	305	【英語史の輪 #305】6月19日の3書店フォトチャレンジ後の4人の感想戦（続編）	<a href='https://voicy.jp/channel/1950/6820513'>play link</a>	2025/06/20	46	81
heldio	1482	#1482. 『英語語源ハンドブック』フォトチャレンジで都心の3書店めぐりをしてきました --- 4人の感想戦	<a href='https://voicy.jp/channel/1950/6824814'>play link</a>	2025/06/20	30	358
heldio	1481	#1481. 『英語語源ハンドブック』のフォトチャレンジを始めています	<a href='https://voicy.jp/channel/1950/6810638'>play link</a>	2025/06/19	16	530
heldio	1480	#1480. 「女ことば」の言語学 --- ゆる言語学ラジオの水野太貴さんの『中央公論』連載「ことばの変化をつかまえる」より	<a href='https://voicy.jp/channel/1950/6800739'>play link</a>	2025/06/18	23	919
helwa	304	【英語史の輪 #304】『英語語源ハンドブック』の発売後はもっとおもしろくなります	<a href='https://voicy.jp/channel/1950/6808586'>play link</a>	2025/06/17	23	45
heldio	1479	#1479. いよいよ明日『英語語源ハンドブック』が発売 --- 「フォトチャレンジ」と「Amazon最速レビュー」の2つの企画にご協力ください！	<a href='https://voicy.jp/channel/1950/6809832'>play link</a>	2025/06/17	18	512
heldio	1478	#1478. 6月21日の朝カル講座では季節語に注目します --- 発売直後の『英語語源ハンドブック』も大活躍するはず	<a href='https://voicy.jp/channel/1950/6796758'>play link</a>	2025/06/16	17	537
heldio	1477	#1477. コメント返し 2025/06/15(Sun)	<a href='https://voicy.jp/channel/1950/6800639'>play link</a>	2025/06/15	29	474
helwa	303	【英語史の輪 #303】『英語語源ハンドブック』まであと4日 --- ヘルメイトの皆さんへのお願い	<a href='https://voicy.jp/channel/1950/6807343'>play link</a>	2025/06/14	32	57
heldio	1476	#1476. Caxton がイングランドに初の印刷所を設けた年	<a href='https://voicy.jp/channel/1950/6806336'>play link</a>	2025/06/14	19	545
heldio	1475	#1475. 『英語語源ハンドブック』の用語解説欄を覗き見	<a href='https://voicy.jp/channel/1950/6800384'>play link</a>	2025/06/13	15	540
helwa	302	【英語史の輪 #302】英語に関する素朴な疑問　千本ノック with 唐澤一友さん，福田一貴さん，小河舜さん（後編）	<a href='https://voicy.jp/channel/1950/6799299'>play link</a>	2025/06/12	34	46
heldio	1474	#1474. ゆる言語学ラジオの「カタルシス英文法」で関係詞の制限用法と非制限用法が話題になっています	<a href='https://voicy.jp/channel/1950/6788273'>play link</a>	2025/06/12	21	2740
helwa	301	【英語史の輪 #301】英語に関する素朴な疑問　千本ノック with 唐澤一友さん，福田一貴さん，小河舜さん（前編）	<a href='https://voicy.jp/channel/1950/6788191'>play link</a>	2025/06/11	51	65
heldio	1473	#1473. 土曜日の『英語語源ハンドブック』新刊紹介の振り返り	<a href='https://voicy.jp/channel/1950/6794347'>play link</a>	2025/06/11	45	570
heldio	1472	#1472. 『英語語源ハンドブック』発売まであと8日 --- eight の項を覗き見	<a href='https://voicy.jp/channel/1950/6788005'>play link</a>	2025/06/10	16	524
heldio	1471	#1471. 7月19日（土）朝日カルチャーで「深堀り『英語語源ハンドブック』徹底解読術　出版記念・鼎談」	<a href='https://voicy.jp/channel/1950/6785555'>play link</a>	2025/06/09	19	478
helwa	300	【英語史の輪 #300】新刊紹介直前の5人でのトーク＠山猫軒	<a href='https://voicy.jp/channel/1950/6785982'>play link</a>	2025/06/08	20	87
heldio	1470	#1470. コメント返し 2025/06/08(Sun)	<a href='https://voicy.jp/channel/1950/6785363'>play link</a>	2025/06/08	24	457
heldio	1469	#1469. 『英語語源ハンドブック』の著者対談@京都	<a href='https://voicy.jp/channel/1950/6785291'>play link</a>	2025/06/07	33	682
heldio	1468	#1468. 『英語語源ハンドブック』の狙いと見出し語の選定	<a href='https://voicy.jp/channel/1950/6774663'>play link</a>	2025/06/06	16	565
helwa	299	【英語史の輪 #299】AIによる自己分析と今後のhel活	<a href='https://voicy.jp/channel/1950/6771611'>play link</a>	2025/06/05	16	47
heldio	1467	#1467. いかにして古英語 mycel が現代英語 much に変わったか？	<a href='https://voicy.jp/channel/1950/6771448'>play link</a>	2025/06/05	16	687
heldio	1466	#1466. 時制とは何か？	<a href='https://voicy.jp/channel/1950/6761246'>play link</a>	2025/06/04	27	825
helwa	298	【英語史の輪 #298】あと半月で『英語語源ハンドブック』が	<a href='https://voicy.jp/channel/1950/6772810'>play link</a>	2025/06/03	21	45
heldio	1465	#1465. 衝撃！どうなるこれからの語学 --- 皐月収録回＠三田より	<a href='https://voicy.jp/channel/1950/6700449'>play link</a>	2025/06/03	55	557
heldio	1464	#1464. YouTube 「文藝春秋PLUS」に出演して60分ほど英語史を語っています	<a href='https://voicy.jp/channel/1950/6767298'>play link</a>	2025/06/02	25	476
heldio	1463	#1463. コメント返し 2025/06/01(Sun)	<a href='https://voicy.jp/channel/1950/6765834'>play link</a>	2025/06/01	27	455
helwa	297	【英語史の輪 #297】Helvillian から『英語語源ハンドブック』まで	<a href='https://voicy.jp/channel/1950/6764856'>play link</a>	2025/05/31	23	41
heldio	1462	#1462. 英語に関する素朴な疑問　プチ千本ノック with 小河舜さん --- 皐月収録回＠三田より	<a href='https://voicy.jp/channel/1950/6690237'>play link</a>	2025/05/31	28	467
heldio	1461	#1461. Helvillian 6月号が公開！ --- 月に一度のhel活祭り	<a href='https://voicy.jp/channel/1950/6749702'>play link</a>	2025/05/30	18	428
helwa	296	【英語史の輪 #296】Helvillian 6月号を推していきます	<a href='https://voicy.jp/channel/1950/6746184'>play link</a>	2025/05/29	23	44
heldio	1460	#1460. 『古英語・中英語初歩』をめぐる雑談対談 --- 皐月収録回＠三田より	<a href='https://voicy.jp/channel/1950/6697465'>play link</a>	2025/05/29	26	621
heldio	1459	#1459. 音変化のミステリー --- ゆる言語学ラジオの水野太貴さんの『中央公論』連載「ことばの変化をつかまえる」より	<a href='https://voicy.jp/channel/1950/6749934'>play link</a>	2025/05/28	18	543
helwa	295	【英語史の輪 #295】高校生からの素朴な疑問 --- 川上さん通信 (19)	<a href='https://voicy.jp/channel/1950/6749441'>play link</a>	2025/05/27	26	167
heldio	1458	#1458. 『英語語源辞典』 (KDEE) の通読者によるマニアックすぎるトーク --- 皐月収録回＠三田より	<a href='https://voicy.jp/channel/1950/6690265'>play link</a>	2025/05/27	25	704
heldio	1457	#1457. 編集者・寄稿者と語る月刊ウェブマガジン Helvillian	<a href='https://voicy.jp/channel/1950/6697451'>play link</a>	2025/05/26	30	592
helwa	294	【英語史の輪 #294】3人で名古屋赤から鍋 --- 新宿オフ会生配信	<a href='https://voicy.jp/channel/1950/6736546'>play link</a>	2025/05/25	44	74
heldio	1456	#1456. コメント返し 2025/05/25(Sun)	<a href='https://voicy.jp/channel/1950/6744316'>play link</a>	2025/05/25	26	356
heldio	1455	#1455. khelf 泉類さんとリンガ・フランカとしての英語をめぐって --- 皐月収録回＠三田より	<a href='https://voicy.jp/channel/1950/6690259'>play link</a>	2025/05/24	18	587
heldio	1454	#1454. 嶋田珠巳先生といっしょにコメント返し	<a href='https://voicy.jp/channel/1950/6723751'>play link</a>	2025/05/23	57	1028
helwa	293	【英語史の輪 #293】共著者と語る『英語語源ハンドブック』予約爆撃アワー --- アフタートークの夜更け	<a href='https://voicy.jp/channel/1950/6729343'>play link</a>	2025/05/22	50	93
heldio	1453	#1453. 緊急生配信企画（のアーカイヴ）　共著者と語る『英語語源ハンドブック』予約爆撃アワー	<a href='https://voicy.jp/channel/1950/6724068'>play link</a>	2025/05/22	46	599
heldio	1452	#1452. 著者と語る『英語という選択　アイルランドの今』 (3) --- 嶋田珠巳先生との対談	<a href='https://voicy.jp/channel/1950/6571329'>play link</a>	2025/05/21	32	809
heldio	1451	#1451. 『英語語源ハンドブック』予約爆撃アワー企画 --- 今晩7時より共著者たちと生配信	<a href='https://voicy.jp/channel/1950/6724828'>play link</a>	2025/05/20	20	579
helwa	292	【英語史の輪 #292】いきなり生配信で寺澤志帆さんと雑談（helwa 臨時回）	<a href='https://voicy.jp/channel/1950/6725429'>play link</a>	2025/05/19	27	40
heldio	1450	#1450. 語源的綴字の英仏対照言語史 with camin さん & 寺澤志帆さん --- 皐月収録回＠三田より	<a href='https://voicy.jp/channel/1950/6700405'>play link</a>	2025/05/19	18	551
heldio	1449	#1449. コメント返し 2025/05/18(Sun)	<a href='https://voicy.jp/channel/1950/6722332'>play link</a>	2025/05/18	34	455
helwa	291	【英語史の輪 #291】『英語語源ハンドブック』で潮目が変わるかもしれません	<a href='https://voicy.jp/channel/1950/6710754'>play link</a>	2025/05/17	30	117
heldio	1448	#1448. 5月24日の朝カル講座では through に注目します	<a href='https://voicy.jp/channel/1950/6711636'>play link</a>	2025/05/17	19	593
heldio	1447	#1447. 緊急生配信（のアーカイヴ） --- 6月18日に『英語語源ハンドブック』（研究社）が出ます	<a href='https://voicy.jp/channel/1950/6716355'>play link</a>	2025/05/16	37	689
helwa	290	【英語史の輪 #290】heldio 緊急生配信を終えて --- 『英語語源ハンドブック』（研究社）が出ます	<a href='https://voicy.jp/channel/1950/6711512'>play link</a>	2025/05/15	29	41
heldio	1446	#1446. アイルランド雑談 with ykagata さん & camin さん --- 皐月収録回＠三田より	<a href='https://voicy.jp/channel/1950/6700402'>play link</a>	2025/05/15	26	651
heldio	1445	#1445. ラテン語と英語の関係とは？ --- ラテン語さん『ラテン語でわかる英単語』（ジャパンタイムズ出版，2025年）	<a href='https://voicy.jp/channel/1950/6707840'>play link</a>	2025/05/14	17	724
helwa	289	【英語史の輪 #289】皐月収録会＠三田を終えて	<a href='https://voicy.jp/channel/1950/6710785'>play link</a>	2025/05/13	35	45
heldio	1444	#1444. 著者と語る『英語という選択　アイルランドの今』 (2) --- 嶋田珠巳先生との対談	<a href='https://voicy.jp/channel/1950/6571816'>play link</a>	2025/05/13	27	817
helwa	287	【英語史の輪 #287】皐月収録会＠三田の懇親2次会より	<a href='https://voicy.jp/channel/1950/6700519'>play link</a>	2025/05/12	39	62
heldio	1443	#1443. 「『英語語源辞典』でたどる英語綴字史」 by khelf 寺澤志帆さん	<a href='https://voicy.jp/channel/1950/6701294'>play link</a>	2025/05/12	15	617
heldio	1442	#1442. Shakespeare の英語史上の位置づけ --- 矢冨弘先生インタビュー from 京都オフ会	<a href='https://voicy.jp/channel/1950/6690215'>play link</a>	2025/05/11	25	570
heldio	1441	#1441. 小河舜さんの研究とキャリアに迫る（後半）--- lacolaco さんインタビュー企画	<a href='https://voicy.jp/channel/1950/6681081'>play link</a>	2025/05/10	25	601
heldio	1440	#1440. 英語に関する素朴な疑問　千本ノック --- アフタートーク with 小河舜さん	<a href='https://voicy.jp/channel/1950/6665399'>play link</a>	2025/05/09	14	524
helwa	286	【英語史の輪 #286】明後日は皐月収録回＠三田です（バタバタすぎてすみません）	<a href='https://voicy.jp/channel/1950/6696786'>play link</a>	2025/05/08	17	72
heldio	1439	#1439. 英語に関する素朴な疑問　千本ノック --- GW回 with 小河舜さん 1時間	<a href='https://voicy.jp/channel/1950/6669850'>play link</a>	2025/05/08	11	710
heldio	1438	#1438. 川上さんの「英語のなぜ5分版」やってます通信 --- 第18弾	<a href='https://voicy.jp/channel/1950/6682830'>play link</a>	2025/05/07	24	541
helwa	285	【英語史の輪 #285】今朝の heldio は helwa の活動から生まれた対談回でした	<a href='https://voicy.jp/channel/1950/6686828'>play link</a>	2025/05/06	16	74
heldio	1437	#1437. 著者と語る『英語という選択　アイルランドの今』 (1) --- 嶋田珠巳先生との対談	<a href='https://voicy.jp/channel/1950/6570324'>play link</a>	2025/05/06	31	927
